"","id","date","title","tags","url","views","votes","answers","user","reputation"
"1","47732389","2017-12-09 19:36:15Z","r - subsetting dataframe creates factors"," dataframe, subset","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","12","0","1","RobertP.","126"
"2","47732215","2017-12-09 19:18:39Z","graphical representation in Rstudio"," plot","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","11","0","0","dato datuashvili","6,607"
"3","47732085","2017-12-09 19:03:26Z","Sum of some positions in a row - R"," matrix, sum","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","20","4","3","António Cruz","43"
"4","47732049","2017-12-09 18:58:45Z","Change home directory for R"," path","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","14","1","1","LauraS","908"
"5","47732024","2017-12-09 18:55:36Z","Add new column, multiply value with strings with dplyr"," dataframe, dplyr","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","10","0",NA,"Tdebeus","56"
"6","47731923","2017-12-09 18:44:07Z","How to change range on ACF plot"," advanced-custom-fields","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","10","0","0","katie","1"
"7","47731906","2017-12-09 18:43:04Z","googleway package produces blank plot"," geospatial, googleway","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","6","0","0","dataNbeer","1"
"8","47731717","2017-12-09 18:20:19Z","Frequency data frame for grouped bar plot","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","15","0","0","user5613688","1"
"9","47731710","2017-12-09 18:19:42Z","Matrix with integer random rows"," matrix, random, integer","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","21","2",NA,"Mark","160"
"10","47731656","2017-12-09 18:13:46Z","knitr, RwordPress quotations and ampersand changes"," wordpress, knit rcurl","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","7","0","1","Mark Gingrass","1"
"11","47731582","2017-12-09 18:06:01Z","Scrape loop multiple pages R"," web-scraping, rvest","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","16","0","0","ML_Enthousiast","5"
"12","47731557","2017-12-09 18:03:26Z","Create tibble with all possible models","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","21","1","1","kk112233","6"
"13","47731531","2017-12-09 18:01:12Z","Find Best Sarima Model in R"," rstudio","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","7","0","0","RATX","1"
"14","47731440","2017-12-09 17:51:47Z","Unable to run ur.df on a specific function","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","10","0","0","AHMED HALIM","1"
"15","47731373","2017-12-09 17:45:17Z","Fitting a expected normal distribution over a histogram","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=1","18","0","0","akaphenom","3,331"
"16","47731307","2017-12-09 17:38:54Z","If statements to check two conditions"," if-statement","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","19","-1",NA,"Christian Jæger","3"
"17","47731209","2017-12-09 17:28:44Z","Linear Regression with Sparse Matrices","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","10","0","0","chachimouchacha","129"
"18","47731187","2017-12-09 17:26:43Z","intermediate fractional transformations"," statistics, normal-distribution","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","6","0","0","Russell Wyeth","8"
"19","47731100","2017-12-09 17:17:13Z","Get row number for prediction with caret"," caret, predict","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","14","1","1","Christoph","133"
"20","47731036","2017-12-09 17:10:59Z","R tool Programming","r","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","24","0","0","MatheswaranRavichandran","1"
"21","47730979","2017-12-09 17:05:15Z","Task scheduled in Rstudio not generating output file"," rstudio","http://stackoverflow.comhttps://stackoverflow.com/questions/tagged/r?page=2","9","0","0","Shalini Baranwal","325"
